semester,Hamalainen,ECON Average
Fall 2015,5.4,5.1
Spring 2016,5.45,5.2
Summer 2016,5.6,5.2
Fall 2016,5.3,5.2
Spring 2017,5.6,5.2
Summer 2017,5.4,5.4
Fall 2017,5.5,5.1
Spring 2018,5.8,5.1
Summer 2018,5.4,5.2
